scenario,region,variables,unit,2020,2030,2050
S1,FR,Efficiency|Natural gas|Anaerobic digestion agricultural residues|Biogas to biomethane|Generic,%,1,1.007453416,1.025654923
S1,FR,Efficiency|Natural gas|Anaerobic digestion agricultural residues|Biogas to biomethane|Biogenic CO2 emissions,%,1,1.044007307,1.163371978
S1,FR,Efficiency|Natural gas|Anaerobic digestion agricultural residues|Biogas to biomethane|Biogenic CH4 emissions,%,1,1.331678875,5.800052533
S1,FR,Efficiency|Natural gas|Anaerobic digestion industrial wastewater|Biogas to biomethane|Generic,%,1,1.007453416,1.025654923
S1,FR,Efficiency|Natural gas|Anaerobic digestion industrial wastewater|Biogas to biomethane|Biogenic CO2 emissions,%,1,1.042038231,1.155293139
S1,FR,Efficiency|Natural gas|Anaerobic digestion industrial wastewater|Biogas to biomethane|Biogenic CH4 emissions,%,1,1.331678875,5.800052533
S1,FR,Efficiency|Natural gas|Anaerobic digestion animal manure|Biogas to biomethane|Generic,%,1,1.007453416,1.025654923
S1,FR,Efficiency|Natural gas|Anaerobic digestion animal manure|Biogas to biomethane|Biogenic CO2 emissions,%,1,1.044722075,1.166324966
S1,FR,Efficiency|Natural gas|Anaerobic digestion animal manure|Biogas to biomethane|Biogenic CH4 emissions,%,1,1.331678875,5.800052533
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane membrane,Nm3/year,1.93E+08,3.07E+09,4.77E+09
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane chemical,Nm3/year,6.71E+06,1.07E+08,1.66E+08
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane water,Nm3/year,6.71E+06,1.07E+08,1.66E+08
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane PSA,Nm3/year,1.79E+07,2.85E+08,4.43E+08
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane cryogenic,Nm3/year,4.48E+06,7.14E+07,1.11E+08
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane membrane with CCS,Nm3/year,0.00E+00,2.58E+08,3.40E+09
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane chemical with CCS,Nm3/year,0.00E+00,8.98E+06,1.18E+08
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane water with CCS,Nm3/year,0.00E+00,8.98E+06,1.18E+08
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane PSA with CCS,Nm3/year,0.00E+00,2.40E+07,3.16E+08
S1,FR,Production|Natural gas|Anaerobic digestion|Biogas to biomethane cryogenic with CCS,Nm3/year,0.00E+00,6.00E+06,7.89E+07
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane membrane|Biogenic CO2 emissions,%,1,1,1.01
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane chemical|Biogenic CO2 emissions,%,1,1,1.001
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane water|Biogenic CO2 emissions,%,1,1,1.02
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane PSA|Biogenic CO2 emissions,%,1,1,1.03
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane cryogenic|Biogenic CO2 emissions,%,1,1,1.0005
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane purification|Biogenic CH4 emissions,%,1,1,1.00E+20
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane membrane|Electricity,%,1,1,1.009642426
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane chemical|Electricity,%,1,1,1.001
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane water|Electricity,%,1,1,1.018
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane PSA|Electricity,%,1,1,1.025
S1,FR,Efficiency|Natural gas|Anaerobic digestion|Biogas to biomethane cryogenic|Electricity,%,1,1,1.001
S1,FR,Production|Liquids|Petrol|Fossil petrol,%,0.9357,0.5347,0
S1,FR,Production|Liquids|Petrol|Bioethanol,%,0.0643,0.4653,1
S1,FR,Production|Liquids|Diesel|Fossil diesel,%,0.9278,0.7561,0.5273
S1,FR,Production|Liquids|Diesel|Biodiesel,%,0.0722,0.2439,0.4727
S1,FR,Production|Liquids|Kerosene|Fossil kerosene,%,1,0.831,0.604
S1,FR,Production|Liquids|Kerosene|Biokerosene,%,0,0.169,0.396
S1,FR,Efficiency|Mobility|Aviation kerosene,%,1,1.347,1.507
S1,FR,Production|Liquids|Light fuel oil|Fossil,TWh,1,1,1
S1,FR,Production|Liquids|LPG|Fossil,TWh,1,1,1
S1,FR,Heat production|Natural gas|Biomethane,TWh,1,1,1
S1,FR,Efficiency|Heat production|Biomethane|Consumption,%,1,1.00207,1.00875
S1,FR,Efficiency|Heat production|Biomethane|CO2,%,1,1.002097,1.00886
S1,FR,Efficiency|Heat production|Biomethane|CH4,%,1,1,1
S1,FR,Heat production|Natural gas|Natural gas,TWh,1,1,1
S1,FR,Efficiency|Heat production|Natural gas|Consumption,%,1,1.00031,1.00753
S1,FR,Efficiency|Heat production|Natural gas|CO2,%,1,1.000489,1.0078
S1,FR,Efficiency|Heat production|Natural gas|CH4,%,1,1,1
S1,FR,Heat production|District heating|Wastes,TWh,6.4,10,7.5
S1,FR,Heat production|District heating|Wood,TWh,6,14,17
S1,FR,Heat production|District heating|Geothermal,TWh,1.4,3,3
S1,FR,Heat production|District heating|Solar,TWh,0.7,0.505,0.35
S1,FR,Heat production|District heating|Biogas,TWh,0.7,0.505,0.35
S1,FR,Heat production|District heating|Gas,TWh,11.5,10.5,3
S1,FR,Mobility|Train,pkm,626.53,802.56,1154.63
S1,FR,Mobility|Bicycle,pkm,40.8605472,193.1351199,497.6842651
S1,FR,Mobility|Diesel car,km,2105.933281,584.699735,6.4031658
S1,FR,Mobility|Petrol car,km,576.3455641,210.1962372,13.49762357
S1,FR,Mobility|LPG car,km,7.276162467,1.999981006,0
